employee_name,first_matched_job_title,employee_name_clean,location
"Koslowski, Frank, Prof. Dr.","Studiengangsleiter, Professor WI - Sales & Consulting",Frank Koslowski,mannheim
"Krcal, Hans-Christian, Prof. Dr.","Studiengangsleiter, Professor BWL - Industrie",Hans-Christian Krcal,mannheim
"Krug, Simone, Prof. Dr.",Professorin WI - International Management for Business and Information Technology,Simone Krug,mannheim
"Kruse, Eckhard, Prof. Dr.",Professor Informatik,Eckhard Kruse,mannheim
"Kubach, René",Akademischer Mitarbeiter BWL - Öffentliche Wirtschaft/Verwaltungswirtschaft,René Kubach,mannheim
"Kuhlmann, Thorsten, B.A.","Personalwesen Professor*innen Wirtschaft A-K, Stellenbewertung - Fachbereich Personal",Thorsten Kuhlmann,mannheim
"Kwasniok, Sascha, Prof. Dr.","Studiengangsleiter, Professor BWL - Versicherung",Sascha Kwasniok,mannheim
"Lamek-Creutz, Bozena, Prof. Dr.-Ing.",Professorin Elektrotechnik,Bozena Lamek-Creutz,mannheim
"Land, Beate, Prof. Dr.","Studiengangsleiterin, Professorin Angewandte Gesundheits- und Pflegewissenschaften",Beate Land,mannheim
"Lembke, Gerald, Prof. Dr.","Studiengangsleiter, Professor ME - Digitale Medien/Medienmanagement und Kommunikation",Gerald Lembke,mannheim
"Litzenberger, Rolf, Prof. Dr.","Studiengangsleiter, Professor Mechatronik",Rolf Litzenberger,mannheim
"Mahn, Bernd, Prof. Dr.",Professor Wirtschaftsingenieurwesen,Bernd Mahn,mannheim
"Maier, Björn, Prof. Dr.","Studiendekan, Studiengangsleiter, Professor BWL - Gesundheitsmanagement",Björn Maier,mannheim
"Malinski, Peter, Prof. Dr.",Professor BWL - Industrie,Peter Malinski,mannheim
"Martin, Clemens, Prof. Dr.-Ing.","Studiendekan, Studiengangsleiter, Professor WI - Sales & Consulting",Clemens Martin,mannheim
"Matt, Michael, Prof. Dr.","Studiengangsleiter, Professor WI - Application Management",Michael Matt,mannheim
"Meier, Alexander, Prof. Dr.","Studiengangsleiter, Professor BWL - Digital Business Management",Alexander Meier,mannheim
"Meier, Victor, Prof. Dr.","Studiengangsleiter, Professor BWL - Industrie",Victor Meier,mannheim
"Meissner, Hans, Prof. Dr.","Studiengangsleiter, Professor BWL - Versicherung",Hans Meissner,mannheim
"Melzer-Ridinger, Ruth, Prof. Dr.","Studiengangsleiterin, Professorin Wirtschaftsingenieurwesen",Ruth Melzer-Ridinger,mannheim
"Mkrtchyan, Lilit, Prof. Dr.","Studiengangsleiterin, Professorin Integrated Engineering",Lilit Mkrtchyan,mannheim
"Möhring, Nicole, Prof. Dr.","Studiengangsleiterin, Professorin Elektrotechnik",Nicole Möhring,mannheim
"Moroff, Gerhard, Prof. Dr.","Studiengangsleiter, Professor BWL - Industrie",Gerhard Moroff,mannheim
"Mühlhan, Claus, Prof. Dr.-Ing.","Studiengangsleiter, Professor Maschinenbau",Claus Mühlhan,mannheim
"Müller, Alisa",Akademische Mitarbeiterin Dual Assessment: Talente finden und fördern (TAFF),Alisa Müller,mannheim
"Nehm, Alexander, Prof. Dr.","Professor BWL - Spedition, Transport und Logistik",Alexander Nehm,mannheim
"Nitsch, Harald, Prof. Dr.","Studiengangsleiter, Professor BWL - Immobilienwirtschaft",Harald Nitsch,mannheim
"Nolte, Cornelius, Prof. Dr.",Professor BWL - Industrie,Cornelius Nolte,mannheim
"Obermayr, David",Akademischer Mitarbeiter ZeMath,David Obermayr,mannheim
"Ostermayer, Dirk, Prof. Dr.-Ing.",Professor Wirtschaftsingenieurwesen,Dirk Ostermayer,mannheim
"Pagnia, Nicole",Akademische Mitarbeiterin BWL - International Business,Nicole Pagnia,mannheim
"Pagnia, Hans-Henning, Prof. Dr.",Professor Wirtschaftsinformatik,Hans-Henning Pagnia,mannheim
"Paul, Christopher, Prof. Dr.",Professor BWL - Industrie,Christopher Paul,mannheim
"Peterfi, Marc",Akademischer Mitarbeiter ZeMath,Marc Peterfi,mannheim
"Pfisterer, Dennis, Prof. Dr.-Ing.","Studiengangsleiter, Professor WI - Data Science",Dennis Pfisterer,mannheim
"Pock, von, Michael, Prof. Dr.","Studiengangsleiter, Professor RSW - Accounting & Controlling",von Pock,mannheim
"Preiser, Konrad, Prof. Dr.",Professor Wirtschaftsinformatik,Konrad Preiser,mannheim
"Priesnitz, Joachim, Prof. Dr.","Studiengangsleiter, Professor Elektrotechnik",Joachim Priesnitz,mannheim
"Rausch, Jasmin","Administration, Sachbearbeitung studentische und wissenschaftliche Hilfskräfte, Teamassistenz - Fachbereich Personal",Jasmin Rausch,mannheim
"Rech, Nicole","Personalwesen Professor*innen Technik, Rektorat, Stabsstellen, zentrale Einrichtungen, Team Arbeitszeit - Fachbereich Personal",Nicole Rech,mannheim
"Redelius, Jürgen, Prof. Dr.","Studiengangsleiter, Professor ME - Digitale Medien/Mediapublishing und Gestaltung",Jürgen Redelius,mannheim
"Reitermann, Tanja","Administration, Sachbearbeitung studentische und wissenschaftliche Hilfskräfte, Teamassistenz - Fachbereich Personal",Tanja Reitermann,mannheim
"Reker, Christoph, Prof. Dr.",Professor Wirtschaftsinformatik,Christoph Reker,mannheim
"Ritterbusch, Sebastian, Prof. Dr.",Professor WI - Data Science,Sebastian Ritterbusch,mannheim
"Rutesic, Petko, M.Sc.",Wissenschaftlicher Mitarbeiter,Petko Rutesic,mannheim
"Sauter, Lisa",Akademische Mitarbeiterin Dual Assessment: Talente finden und fördern (TAFF),Lisa Sauter,mannheim
"Schael, Arndt-Erik, Prof. Dr.","Studiengangsleiter, Professor Chemische Technik",Arndt-Erik Schael,mannheim
"Schäfer, Christian Hans, Prof. Dr.",Professor BWL - Versicherung,Christian Hans Schäfer,mannheim
"Scheel, Michael, Prof. Dr.",Professor RSW - Steuern und Prüfungswesen,Michael Scheel,mannheim
"Scherer, Maximilian, Prof. Dr.",Professor Wirtschaftsinformatik,Maximilian Scherer,mannheim
"Schief, Markus, Prof. Dr.",Professor BWL - Digital Business Management,Markus Schief,mannheim
"Schirl, Thomas, Prof. Dr.","Studiengangsleiter, Professor Elektrotechnik",Thomas Schirl,mannheim
"Schlottmann, Norbert, Prof.",Professor BWL - Bank,Norbert Schlottmann,mannheim
"Schmitz, Sven, Prof. Dr.","Studiengangsleiter, Professor Mechatronik",Sven Schmitz,mannheim
"Schneider, Christoffer, Prof. Dr.","Studiendekan, Studiengangsleiter, Professor BWL - Digital Business Management",Christoffer Schneider,mannheim
"Schneider, Michael, Prof. Dr.","Studiengangsleiter, Professor Wirtschaftsingenieurwesen",Michael Schneider,mannheim
"Schneider, Willy, Prof. Dr.","Studiengangsleiter, Professor BWL - Handel",Willy Schneider,mannheim
"Schneider, Julia",Akademische Mitarbeiterin Dual Assessment: Talente finden und fördern (TAFF),Julia Schneider,mannheim
"Schorer, Linda, M. Eng.",Akademische Mitarbeiterin,Linda Schorer,mannheim
"Schröder, Michael, Prof. Dr.","Professor BWL - Spedition, Transport und Logistik",Michael Schröder,mannheim
"Schröer, Carsten, Prof. Dr.","Professor BWL - Messe-, Kongress- und Eventmanagement",Carsten Schröer,mannheim
"Schubert, Lars, Prof. Dr.","Studiengangsleiter, Professor BWL - Spedition, Transport und Logistik",Lars Schubert,mannheim
"Schulz, Volker, Prof. Dr.",Professor Maschinenbau,Volker Schulz,mannheim
"Schuster, Thomas, Prof. Dr.",Professor BWL - International Business,Thomas Schuster,mannheim
"Seidel, Carsten, Prof. Dr.","Studiengangsleiter, Professor Integrated Engineering",Carsten Seidel,mannheim
"Sobirey, Frank, Prof. Dr.","Studiengangsleiter, Professor BWL - Bank",Frank Sobirey,mannheim
"Stanske, Christian, Prof.","Studiengangsleiter, Professor Maschinenbau",Christian Stanske,mannheim
"Staub, Sarah, Prof. Dr.-Ing.",Professorin Maschinenbau,Sarah Staub,mannheim
"Stepanel, Natalja",Akademische Mitarbeiterin WI - E-Health,Natalja Stepanel,mannheim
"Steurer, Vivian",Akademische Mitarbeiterin WI - E-Health,Vivian Steurer,mannheim
"Stroetmann, Karl, Prof. Dr.",Professor Informatik,Karl Stroetmann,mannheim
"Stützer, Michael, Prof. Dr.",Professor BWL - Industrie,Michael Stützer,mannheim
"Sudermann-Merx, Nathan, Prof. Dr.",Professor Informatik,Nathan Sudermann-Merx,mannheim
"Teichmann, Michael, Prof. Dr.",Professor BWL - Industrie,Michael Teichmann,mannheim
"Thalmeier, Petra, Prof. Dr.","Professorin BWL - Messe-, Kongress- und Eventmanagement",Petra Thalmeier,mannheim
"Tornow, Kai",Akademischer Mitarbeiter Elektromobilität,Kai Tornow,mannheim
"Ullmann, Michael, Prof. Dr.","Studiengangsleiter, Professor Elektrotechnik",Michael Ullmann,mannheim
"Vogt, Jan Günther, Prof. Dr.-Ing.",Professor Maschinenbau,Jan Günther Vogt,mannheim
"Vogt, Jonas, Prof. Dr.",Professor BWL - Finanzdienstleistungen,Jonas Vogt,mannheim
"Voß, Markus, Prof. Dr.","Studiengangsleiter, Professor Maschinenbau",Markus Voß,mannheim
"Vranckx, Christian, Prof. Dr.","Studiengangsleiter, Professor BWL - Handel",Christian Vranckx,mannheim
"Wannenwetsch, Helmut, Prof. Dr.",Professor BWL - Industrie,Helmut Wannenwetsch,mannheim
"Weigel, Miriam, Dr.",Akademische Mitarbeiterin ZeMath,Miriam Weigel,mannheim
"Weinland, Lothar, Prof. Dr.","Studiendekan, Studiengangsleiter, Professor BWL - Marketing Management",Lothar Weinland,mannheim
"Werling, Stefan, Prof. Dr.","Studiendekan, Studiengangsleiter, Professor Mechatronik",Stefan Werling,mannheim
"Werner, Bernd, Prof. Dr.","Studiengangsleiter, Professor BWL - Öffentliche Wirtschaft/Wirtschaftsförderung",Bernd Werner,mannheim
"Wiedemann, Armin, Prof. Dr.",Professor Wirtschaftsinformatik,Armin Wiedemann,mannheim
"Wolf, Bernhard, Prof.",Professor BWL - Handel,Bernhard Wolf,mannheim
"Wolff, Frank, Prof. Dr.","Studiengangsleiter, Professor WI - Application Management",Frank Wolff,mannheim
